Ranges, indexed from 0:
373: [35.5, 99.0]
374: [37.0, 99.0]
375: [38.5, 99.0]
376: [0.0, 40.0]
383: [11.0, 99.0]
384: [12.5, 99.0]
385: [25.0, 99.0]
386: [15.5, 99.0]
387: [0.0, 17.5]
388: [19.0, 99.0]
389: [20.5, 99.0]
390: [0.0, 22.0]
393: [23.5, 99.0]
395: [0.0, 25.0]
409: [6.0, 99.0]
411: [7.5, 99.0]
412: [9.5, 99.0]
413: [11.0, 99.0]
414: [12.5, 99.0]
415: [0.0, 14.0]
416: [15.5, 99.0]
417: [17.0, 99.0]
418: [18.5, 99.0]
419: [0.0, 20.0]
523: [6.0, 99.0]
524: [7.5, 99.0]
528: [9.0, 99.0]
529: [10.5, 99.0]
530: [7.5, 12.0]
531: [13.5, 99.0]
532: [0.0, 11.0]
533: [17.0, 99.0]
534: [18.5, 99.0]
535: [15.5, 20.0]
536: [17.0, 99.0]
539: [18.5, 99.0]
540: [20.0, 99.0]
543: [23.0, 99.0]
544: [24.5, 99.0]
545: [0.0, 26.0]
550: [9.0, 99.0]
551: [10.5, 99.0]
552: [12.0, 99.0]
553: [13.5, 99.0]
554: [15.0, 99.0]
555: [16.5, 99.0]
556: [18.0, 99.0]
557: [19.5, 99.0]
558: [21.0, 99.0]
559: [22.5, 99.0]
561: [23.0, 99.0]
562: [24.5, 99.0]
564: [26.0, 99.0]
565: [27.5, 99.0]
566: [29.0, 99.0]
567: [0.0, 30.5]
569: [32.0, 99.0]
570: [33.5, 99.0]
571: [35.0, 99.0]
573: [9.5, 99.0]
575: [11.0, 99.0]
576: [12.5, 99.0]
577: [14.0, 99.0]
578: [15.5, 99.0]
579: [0.0, 17.0]
593: [18.5, 99.0]
595: [20.0, 99.0]
597: [23.0, 99.0]
598: [24.5, 99.0]
599: [26.0, 99.0]
600: [27.5, 99.0]
602: [29.0, 99.0]
603: [0.0, 30.5]
613: [33.5, 99.0]
614: [35.0, 99.0]
616: [38.0, 99.0]
617: [0.0, 39.5]
619: [41.0, 99.0]
620: [0.0, 42.5]
622: [44.0, 99.0]
623: [0.0, 45.5]
624: [47.0, 99.0]
626: [0.0, 48.5]
646: [0.0, 6.5]
648: [8.0, 99.0]
649: [9.5, 99.0]
651: [11.0, 99.0]
652: [12.5, 99.0]
653: [0.0, 14.0]
655: [15.5, 99.0]
656: [17.0, 99.0]
657: [18.5, 99.0]
658: [20.0, 99.0]
659: [9.5, 99.0]
660: [11.0, 99.0]
661: [12.5, 99.0]
662: [14.0, 99.0]
663: [15.5, 99.0]
664: [17.0, 99.0]
665: [18.5, 99.0]
666: [20.0, 99.0]
668: [23.0, 99.0]
669: [0.0, 24.5]
670: [26.0, 99.0]
671: [27.5, 99.0]
672: [29.0, 99.0]
673: [30.5, 99.0]
674: [32.0, 99.0]
675: [0.0, 33.5]
680: [35.0, 99.0]
1000: [0.5, 99.0]
